index,month,day,FFMC,DMC,DC,temp,RH,wind,hypotenuse,burned_area
0,3,5,86.2,26.2,94.3,8.2,51,6.7,8.602325267,0
1,10,2,90.6,35.4,669.1,18,33,0.9,8.062257748,0
2,10,6,90.6,43.7,686.9,14.6,33,1.3,8.062257748,0
3,3,5,91.7,33.3,77.5,8.3,97,4,10,0
4,3,7,89.3,51.3,102.2,11.4,99,1.8,10,0
5,8,7,92.3,85.3,488,22.2,29,5.4,10,0
6,8,1,92.3,88.9,495.6,24.1,27,3.1,10,0
7,8,1,91.5,145.4,608.2,8,86,2.2,10,0
8,9,2,91,129.5,692.6,13.1,63,5.4,10,0
9,9,6,92.5,88,698.6,22.8,40,4,8.602325267,0
10,9,6,92.5,88,698.6,17.8,51,7.2,8.602325267,0
11,9,6,92.8,73.2,713,19.3,38,4,8.602325267,0
12,8,5,63.5,70.8,665.3,17,72,6.7,7.810249676,0
13,9,1,90.9,126.5,686.5,21.3,42,2.2,7.810249676,0
14,9,3,92.9,133.3,699.6,26.4,21,4.5,7.810249676,0
15,9,5,93.3,141.2,713.9,22.9,44,5.4,7.810249676,0
16,3,6,91.7,35.8,80.8,15.1,27,5.4,7.071067812,0
17,10,1,84.9,32.8,664.2,16.7,47,4.9,9.433981132,0
18,3,3,89.2,27.9,70.8,15.9,35,4,7.211102551,0
19,4,6,86.3,27.4,97.1,9.3,44,4.5,7.211102551,0
20,9,2,91,129.5,692.6,18.3,40,2.7,7.211102551,0
21,9,1,91.8,78.5,724.3,19.1,38,2.7,6.403124237,0
22,6,7,94.3,96.3,200,21,44,4.5,8.062257748,0
23,8,6,90.2,110.9,537.4,19.5,43,5.8,8.062257748,0
24,8,6,93.5,139.4,594.2,23.7,32,5.8,8.062257748,0
25,8,7,91.4,142.4,601.4,16.3,60,5.4,8.062257748,0
26,9,5,92.4,117.9,668,19,34,5.8,8.062257748,0
27,9,1,90.9,126.5,686.5,19.4,48,1.3,8.062257748,0
28,9,6,93.4,145.4,721.4,30.2,24,2.7,6.708203932,0
29,9,7,93.5,149.3,728.6,22.8,39,3.6,6.708203932,0
30,9,5,94.3,85.1,692.3,25.4,24,3.6,6.708203932,0
31,9,1,88.6,91.8,709.9,11.2,78,7.6,6.708203932,0
32,9,5,88.6,69.7,706.8,20.6,37,1.8,6.708203932,0
33,9,7,91.7,75.6,718.3,17.7,39,3.6,6.708203932,0
34,9,1,91.8,78.5,724.3,21.2,32,2.7,6.708203932,0
35,9,2,90.3,80.7,730.2,18.2,62,4.5,6.708203932,0
36,10,2,90.6,35.4,669.1,21.7,24,4.5,6.708203932,0
37,10,5,90,41.5,682.6,11.3,60,5.4,8.062257748,0
38,10,6,90.6,43.7,686.9,17.8,27,4,7.615773106,0
39,3,2,88.1,25.7,67.6,14.1,43,2.7,5.656854249,0
40,7,2,79.5,60.6,366.7,23.3,37,3.1,5.656854249,0
41,8,6,90.2,96.9,624.2,18.4,42,6.7,5.656854249,0
42,8,2,94.8,108.3,647.1,16.6,54,5.4,5.656854249,0
43,9,6,92.5,88,698.6,19.6,48,2.7,5.656854249,0
44,9,3,90.1,82.9,735.7,12.9,74,4.9,5.656854249,0
45,9,3,94.3,85.1,692.3,25.9,24,4,7.810249676,0
46,9,1,90.9,126.5,686.5,14.7,70,3.6,7.810249676,0
47,7,1,94.2,62.3,442.9,23,36,3.1,8.485281374,0
48,3,1,87.2,23.9,64.7,11.8,35,1.8,5.656854249,0
49,3,1,87.6,52.2,103.8,11,46,5.8,5.656854249,0
50,9,4,92.9,137,706.4,20.8,17,1.3,5.656854249,0
51,8,7,90.2,99.6,631.2,21.5,34,2.2,5,0
52,8,3,92.1,111.2,654.1,20.4,42,4.9,5,0
53,8,3,92.1,111.2,654.1,20.4,42,4.9,5,0
54,8,4,91.7,114.3,661.3,17.6,45,3.6,5,0
55,9,4,92.9,137,706.4,27.7,24,2.2,5,0
56,9,2,90.3,80.7,730.2,17.8,63,4.9,5,0
57,10,7,92.6,46.5,691.8,13.8,50,2.7,5,0
58,2,1,84,9.3,34,13.9,40,5.4,2.828427125,0
59,2,5,86.6,13.2,43,12.3,51,0.9,2.828427125,0
60,3,7,89.3,51.3,102.2,11.5,39,5.8,2.828427125,0
61,3,7,89.3,51.3,102.2,5.5,59,6.3,2.828427125,0
62,8,4,93,75.3,466.6,18.8,35,4.9,2.828427125,0
63,8,7,90.2,99.6,631.2,20.8,33,2.7,2.828427125,0
64,8,1,91.1,103.2,638.8,23.1,31,3.1,2.828427125,0
65,8,4,91.7,114.3,661.3,18.6,44,4.5,2.828427125,0
66,9,5,92.4,117.9,668,23,37,4.5,2.828427125,0
67,9,5,92.4,117.9,668,19.6,33,5.4,2.828427125,0
68,9,5,92.4,117.9,668,19.6,33,6.3,2.828427125,0
69,3,5,91.7,33.3,77.5,17.2,26,4.5,6.403124237,0
70,3,5,91.2,48.3,97.8,15.8,27,7.6,6.403124237,0
71,9,5,94.3,85.1,692.3,17.7,37,3.6,6.403124237,0
72,3,5,91.7,33.3,77.5,15.6,25,6.3,6.403124237,0
73,8,2,88.8,147.3,614.5,17.3,43,4.5,6.403124237,0
74,9,5,93.3,141.2,713.9,27.6,30,1.3,6.403124237,0
75,2,4,84.2,6.8,26.6,6.7,79,3.1,12.72792206,0
76,2,5,86.6,13.2,43,15.7,43,3.1,12.72792206,0
77,3,1,87.6,52.2,103.8,8.3,72,3.1,3.16227766,0
78,8,5,90.1,108,529.8,14.7,66,2.7,2.236067977,0
79,8,2,91,121.2,561.6,21.6,19,6.7,2.236067977,0
80,8,7,91.4,142.4,601.4,19.5,39,6.3,2.236067977,0
81,8,7,90.2,99.6,631.2,17.9,44,2.2,2.236067977,0
82,8,2,94.8,108.3,647.1,18.6,51,4.5,2.236067977,0
83,8,3,92.1,111.2,654.1,16.6,47,0.9,2.236067977,0
84,8,4,91.7,114.3,661.3,20.2,45,3.6,2.236067977,0
85,9,4,92.9,137,706.4,21.5,15,0.9,2.236067977,0
86,9,4,92.9,137,706.4,25.4,27,2.2,2.236067977,0
87,9,4,92.9,137,706.4,22.4,34,2.2,2.236067977,0
88,9,7,93.5,149.3,728.6,25.3,36,3.6,2.236067977,0
89,3,6,91.7,35.8,80.8,17.4,25,4.9,7.810249676,0
90,8,6,90.2,96.9,624.2,14.7,59,5.8,7.810249676,0
91,3,5,91.7,35.8,80.8,17.4,24,5.4,10,0
92,8,7,92.3,85.3,488,20.8,32,6.3,10,0
93,8,7,91.4,142.4,601.4,18.2,43,4.9,10,0
94,8,1,91.1,103.2,638.8,23.4,22,2.7,10,0
95,9,7,89.7,90,704.4,17.8,64,1.3,5.656854249,0
96,2,6,83.9,8,30.2,12.7,48,1.8,5,0
97,3,6,69,2.4,15.5,17.4,24,5.4,5,0
98,8,7,91.4,142.4,601.4,11.6,87,4.5,5,0
99,8,7,91.4,142.4,601.4,19.8,39,5.4,5,0
100,8,7,91.4,142.4,601.4,19.8,39,5.4,5,0
101,8,2,88.8,147.3,614.5,14.4,66,5.4,5,0
102,8,2,94.8,108.3,647.1,20.1,40,4,4.472135955,0
103,9,6,92.5,121.1,674.4,24.1,29,4.5,4.472135955,0
104,1,6,82.1,3.7,9.3,5.3,78,3.1,4.472135955,0
105,3,5,85.9,19.5,57.3,12.7,52,6.3,6.403124237,0
106,3,4,91.4,30.7,74.3,18.2,29,3.1,6.403124237,0
107,8,7,90.2,99.6,631.2,21.4,33,3.1,6.403124237,0
108,9,6,92.5,88,698.6,20.3,45,3.1,6.403124237,0
109,9,1,88.6,91.8,709.9,17.4,56,5.4,6.403124237,0
110,3,5,85.9,19.5,57.3,13.7,43,5.8,5.656854249,0
111,3,5,91.7,33.3,77.5,18.8,18,4.5,5,0
112,9,7,89.7,90,704.4,22.8,39,3.6,5,0
113,9,1,91.8,78.5,724.3,18.9,35,2.7,5,0
114,3,2,88.1,25.7,67.6,15.8,27,7.6,5,0
115,3,2,88.1,25.7,67.6,15.5,27,6.3,5.830951895,0
116,3,6,91.7,35.8,80.8,11.6,30,6.3,5,0
117,3,6,91.7,35.8,80.8,15.2,27,4.9,5,0
118,3,1,90.1,39.7,86.6,10.6,30,4,5,0
119,8,4,93,75.3,466.6,19.6,36,3.1,5,0
120,8,1,91.5,145.4,608.2,10.3,74,2.2,5,0
121,8,1,91.5,145.4,608.2,17.1,43,5.4,5,0
122,9,7,92.4,124.1,680.7,22.5,42,5.4,5,0
123,9,2,84.4,73.4,671.9,17.9,45,3.1,5,0
124,9,5,94.3,85.1,692.3,19.8,50,5.4,5,0
125,10,7,92.6,46.5,691.8,20.6,24,5.4,5,0
126,3,1,87.6,52.2,103.8,9,49,2.2,5.830951895,0
127,9,5,93.5,149.3,728.6,17.2,43,3.1,5.830951895,0
128,10,3,91.4,37.9,673.8,15.9,46,3.6,5.830951895,0
129,10,7,92.6,46.5,691.8,15.4,35,0.9,5.385164807,0
130,2,6,68.2,21.5,87.2,15.4,40,2.7,7.211102551,0
131,3,1,87.2,23.9,64.7,14,39,3.1,7.211102551,0
132,3,7,89.3,51.3,102.2,10.6,46,4.9,7.211102551,0
133,9,4,93.7,80.9,685.2,17.6,42,3.1,7.211102551,0
134,3,2,88.1,25.7,67.6,14.9,38,2.7,5.830951895,0
135,8,6,93.5,139.4,594.2,17.6,52,5.8,5.830951895,0
136,9,7,92.4,124.1,680.7,17.2,58,1.3,6.708203932,0
137,9,1,90.9,126.5,686.5,15.6,66,3.1,6.708203932,0
138,7,2,85.8,48.3,313.4,18,42,2.7,12.72792206,0.0036
139,9,2,91,129.5,692.6,21.7,38,2.2,4.123105626,0.0043
140,9,1,90.9,126.5,686.5,21.9,39,1.8,5.385164807,0.0047
141,8,3,95.5,99.9,513.3,23.3,31,4.5,2.236067977,0.0055
142,8,5,90.1,108,529.8,21.2,51,8.9,10,0.0061
143,7,6,90,51.3,296.3,16.6,53,5.4,2.236067977,0.0071
144,8,3,95.5,99.9,513.3,23.8,32,5.4,5.385164807,0.0077
145,8,4,95.2,131.7,578.8,27.4,22,4,7.810249676,0.009
146,3,1,90.1,39.7,86.6,13.2,40,5.4,6.403124237,0.0095
147,9,2,84.4,73.4,671.9,24.2,28,3.6,8.544003745,0.0096
148,8,2,94.8,108.3,647.1,17.4,43,6.7,2.828427125,0.0107
149,9,4,93.7,80.9,685.2,23.7,25,4.5,10,0.0112
150,6,5,92.5,56.4,433.3,23.2,39,5.4,7.810249676,0.0119
151,7,7,90.1,68.6,355.2,24.8,29,2.2,12.72792206,0.0136
152,7,6,90.1,51.2,424.1,24.6,43,1.8,5,0.0143
153,9,5,94.3,85.1,692.3,20.1,47,4.9,6.403124237,0.0146
154,9,6,93.4,145.4,721.4,29.6,27,2.7,5.099019514,0.0146
155,8,7,94.8,108.3,647.1,16.4,47,1.3,8.062257748,0.0156
156,9,6,93.4,145.4,721.4,28.6,27,2.2,4.472135955,0.0161
157,8,3,92.1,111.2,654.1,18.4,45,3.6,2.828427125,0.0163
158,8,3,92.1,111.2,654.1,20.5,35,4,4.472135955,0.0164
159,9,5,92.4,117.9,668,19,34,5.8,8.062257748,0.0169
160,3,1,90.1,39.7,86.6,16.1,29,3.1,8.062257748,0.0175
161,8,4,95.2,131.7,578.8,20.3,41,4,7.211102551,0.019
162,3,6,90.6,50.1,100.4,15.2,31,8.5,6.708203932,0.0194
163,9,6,92.5,121.1,674.4,17.8,56,1.8,10,0.0195
164,9,7,89.7,90,704.4,17.8,67,2.2,9.433981132,0.0201
165,3,4,84.9,18.2,55,5.3,70,4.5,7.810249676,0.0214
166,8,3,92.1,111.2,654.1,16.6,47,0.9,7.810249676,0.0229
167,8,3,96,127.1,570.5,23.4,33,4.5,7.810249676,0.0251
168,3,5,91.2,48.3,97.8,14.6,26,9.4,7.810249676,0.0253
169,8,4,95.2,131.7,578.8,20.7,45,2.2,10,0.0255
170,9,3,92.9,133.3,699.6,21.9,35,1.8,6.403124237,0.0257
171,8,3,85.6,90.4,609.6,17.4,50,4,10,0.0269
172,8,7,91.4,142.4,601.4,20.1,39,5.4,8.062257748,0.0274
173,9,1,90.9,126.5,686.5,17.7,39,2.2,5.656854249,0.0307
174,8,6,90.2,96.9,624.2,14.2,53,1.8,4.123105626,0.035
175,8,6,90.2,96.9,624.2,20.3,39,4.9,4.123105626,0.0453
176,4,4,81.5,9.1,55.2,5.8,54,5.8,7.810249676,0.0461
177,8,7,90.2,99.6,631.2,19.2,44,2.7,5.385164807,0.0469
178,9,3,90.1,82.9,735.7,18.3,45,2.2,5.385164807,0.0488
179,8,2,88.8,147.3,614.5,14.4,66,5.4,10,0.0523
180,9,7,92.4,124.1,680.7,23.9,32,6.7,3.16227766,0.0533
181,10,1,84.9,32.8,664.2,19.1,32,4,10,0.0544
182,2,7,86.8,15.6,48.3,12.4,53,2.2,6.403124237,0.0638
183,10,1,91.7,48.5,696.1,16.8,45,4.5,8.062257748,0.0683
184,8,5,93.9,135.7,586.7,20.8,34,4.9,10,0.0696
185,9,2,91,129.5,692.6,17.6,46,3.1,5.385164807,0.0704
186,3,7,89.3,51.3,102.2,11.5,39,5.8,10,0.0719
187,9,1,90.9,126.5,686.5,21,42,2.2,5.099019514,0.073
188,3,6,90.8,41.9,89.4,13.3,42,0.9,7.211102551,0.074
189,3,7,90.7,44,92.4,11.5,60,4,8.062257748,0.0824
190,3,5,91.2,48.3,97.8,11.7,33,4,7.810249676,0.0831
191,8,4,95.2,131.7,578.8,24.2,28,2.7,5.385164807,0.0868
192,8,2,94.8,108.3,647.1,24.6,22,4.5,2.828427125,0.0871
193,9,3,92.9,133.3,699.6,24.3,25,4,6.403124237,0.0941
194,8,2,94.8,108.3,647.1,24.6,22,4.5,2.828427125,0.1001
195,8,5,93.9,135.7,586.7,23.5,36,5.4,5.385164807,0.1002
196,4,4,81.5,9.1,55.2,5.8,54,5.8,7.810249676,0.1093
197,9,4,92.9,137,706.4,21.5,15,0.9,6.403124237,0.1106
198,9,2,91,129.5,692.6,13.9,59,6.3,5,0.1124
199,9,1,63.5,70.8,665.3,22.6,38,3.6,4.472135955,0.1132
200,9,2,91,129.5,692.6,21.6,33,2.2,5.099019514,0.1153
201,3,7,90.1,37.6,83.7,12.4,54,3.6,7.810249676,0.121
202,2,7,83.9,8.7,32.1,8.8,68,2.2,8.062257748,0.1305
203,10,3,91.4,37.9,673.8,20.2,37,2.7,10,0.137
204,3,6,90.6,50.1,100.4,15.1,64,4,7.810249676,0.1399
205,9,4,92.9,137,706.4,22.1,34,1.8,6.403124237,0.1457
206,8,6,93.5,139.4,594.2,22.9,31,7.2,2.828427125,0.1545
207,9,2,91,129.5,692.6,20.7,37,2.2,8.602325267,0.172
208,9,5,92.4,117.9,668,19.6,33,6.3,7.810249676,0.1923
209,9,4,93.7,80.9,685.2,23.2,26,4.9,8.544003745,0.2341
210,10,6,90.6,43.7,686.9,18.4,25,3.1,5.656854249,0.2423
211,8,6,93.5,139.4,594.2,5.1,96,5.8,8.062257748,0.26
212,9,5,94.3,85.1,692.3,20.1,47,4.9,8.062257748,0.2613
213,3,1,87.6,52.2,103.8,11,46,5.8,7.615773106,0.2735
214,3,6,91.7,35.8,80.8,17,27,4.9,5.656854249,0.2866
215,3,6,91.7,35.8,80.8,17,27,4.9,5.656854249,0.2866
216,9,7,92.4,124.1,680.7,16.9,60,1.3,5.656854249,0.2948
217,9,1,88.6,91.8,709.9,12.4,73,6.3,3.16227766,0.3032
218,9,3,92.9,133.3,699.6,19.4,19,1.3,6.403124237,0.3172
219,3,1,90.1,39.7,86.6,15.2,27,3.1,7.810249676,0.3186
220,8,7,90.2,99.6,631.2,16.2,59,3.1,10,0.3207
221,9,5,93.3,141.2,713.9,18.6,49,3.6,5,0.3588
222,3,1,87.6,52.2,103.8,11,46,5.8,5,0.3685
223,7,5,88.3,150.3,309.9,13.4,79,3.6,2.828427125,0.3702
224,9,3,90.1,82.9,735.7,15.4,57,4.5,8.062257748,0.3771
225,9,7,93.5,149.3,728.6,22.9,39,4.9,5.656854249,0.4855
226,10,1,91.7,48.5,696.1,16.1,44,4,8.602325267,0.4937
227,8,6,92.2,81.8,480.8,20.1,34,4.5,10,0.583
228,9,7,93.5,149.3,728.6,28.3,26,3.1,7.211102551,0.641
229,8,6,92.2,81.8,480.8,16.4,43,4,10,0.713
230,9,3,92.9,133.3,699.6,26.4,21,4.5,5.656854249,0.8849
231,9,7,93.5,149.3,728.6,27.8,27,3.1,5.099019514,0.9518
232,9,2,91,129.5,692.6,18.7,43,2.7,7.211102551,1.0339
233,9,2,84.4,73.4,671.9,24.3,36,3.1,9.848857802,1.0566
234,9,6,92.5,121.1,674.4,17.7,25,3.1,6.403124237,1.5488
235,8,7,91.4,142.4,601.4,19.6,41,5.8,10,1.9648
236,9,6,92.5,121.1,674.4,18.2,46,1.8,2.828427125,2.0094
237,9,2,91,129.5,692.6,18.8,40,2.2,2.236067977,2.1288
238,9,6,92.5,121.1,674.4,25.1,27,4,7.810249676,10.9084
239,4,7,81.9,3,7.9,13.4,75,1.8,8.602325267,0
240,4,3,88,17.2,43.5,15.2,51,2.7,6.708203932,0
241,4,5,83,23.3,85.3,16.7,20,3.1,5.656854249,0
242,8,7,94.2,122.3,589.9,15.4,66,4,4.472135955,0.1013
243,8,7,91.8,175.1,700.7,21.9,73,7.6,8.062257748,0
244,8,7,91.8,175.1,700.7,22.4,54,7.6,4.472135955,0.0287
245,8,7,91.8,175.1,700.7,26.8,38,6.3,5,0.0076
246,8,7,91.8,175.1,700.7,25.7,39,5.4,6.403124237,0.0009
247,8,3,92.2,91.6,503.6,20.7,70,2.2,4.472135955,0.0075
248,8,3,93.1,157.3,666.7,28.7,28,2.7,10,0
249,8,3,93.1,157.3,666.7,21.7,40,0.4,5,0.0247
250,8,3,93.1,157.3,666.7,26.8,25,3.1,9.433981132,0.0068
251,8,3,93.1,157.3,666.7,24,36,3.1,9.433981132,0.0024
252,8,3,93.1,157.3,666.7,22.1,37,3.6,7.810249676,0.0021
253,8,4,91.9,109.2,565.5,21.4,38,2.7,8.062257748,0.0152
254,8,4,91.6,138.1,621.7,18.9,41,3.1,6.708203932,0.1034
255,8,4,87.5,77,694.8,22.3,46,4,5.385164807,0
256,8,6,94.2,117.2,581.1,23.9,41,2.2,10,0.0802
257,8,6,94.2,117.2,581.1,21.4,44,2.7,5,0.0068
258,8,6,91.8,170.9,692.3,20.6,59,0.9,5,0
259,8,6,91.8,170.9,692.3,23.7,40,1.8,8.062257748,0.0138
260,8,1,93.6,97.9,542,28.3,32,4,4.472135955,0.0885
